planet_name,planet_orbit,distance
11 Com b,323.21,93.1846
11 UMi b,516.21997,125.321
14 And b,186.76,75.4392
14 Her b,1765.0389,17.9323
16 Cyg B b,798.5,21.1397
17 Sco b,578.38,124.953
18 Del b,982.85,76.222
1RXS J160929.1-210524 b,,139.135
24 Boo b,30.33,95.9863
24 Sex b,452.8,72.0691
24 Sex c,883,72.0691
2M0437 b,,128.484
2MASS J01033563-5515561 AB b,,47.2
2MASS J01225093-2439505 b,,33.8281
2MASS J02192210-3925225 b,,40.0896412
2MASS J0249-0557 c,,66.0613
2MASS J03590986+2009361 b,,117.435
2MASS J04414489+2301513 b,,120.423987
2MASS J11011926-7732383 b,,
2MASS J11550485-7919108 b,,100.862
2MASS J12073346-3932539 b,,64.308
2MASS J19383260+4603591 b,406,396.332
2MASS J21252752-8138278 b,,34.1154
2MASS J22362452+4751425 b,,69.5737
30 Ari B b,335.10001,44.657
4 UMa b,270.27,73.4603
42 Dra b,479.1,90.6545
47 UMa b,1078,13.7967
47 UMa c,2391,13.7967
47 UMa d,14002,13.7967
51 Eri b,11688,29.7575
51 Peg b,4.230785,15.4614
55 Cnc b,14.6516,12.5855
55 Cnc c,44.3989,12.5855
55 Cnc d,5574.2,12.5855
55 Cnc e,0.7365474,12.5855
55 Cnc f,259.88,12.5855
6 Lyn b,919.86,54.6599
61 Vir b,4.215,8.50332
61 Vir c,38.021,8.50332
61 Vir d,123.01,8.50332
7 CMa b,735.1,19.8101
7 CMa c,996,19.8101
70 Vir b,116.688,17.9011
75 Cet b,696.62,82.9613
75 Cet c,2051.62,82.9613
8 UMi b,93.4,162.552
81 Cet b,1005.57,101.26
91 Aqr b,181.4,44.0304
AB Aur b,,162.127
AB Pic b,,50.0475
AF Lep b,8030,26.8564
AU Mic b,8.46308,9.7221
AU Mic c,18.85969,9.7221
AU Mic d,12.73596,9.7221
BD+03 2562 b,481.9,1070.63
BD+14 4559 b,268.94,49.352
BD+15 2375 b,153.22,768.045
BD+15 2940 b,137.48,426.42
BD+20 2457 b,379.63,1539.71
BD+20 2457 c,621.99,1539.71
BD+20 274 b,578.2,1322.51
BD+20 594 b,41.6855,179.461
BD+45 564 b,307.88,53.622
BD+48 738 b,392.6,871.493
BD+48 740 b,733,666.589
BD+49 828 b,2590,442.042
BD+55 362 b,265.59,52.5697
BD+60 1417 b,,44.9543
BD+63 1405 b,1198.48,38.0473
BD-06 1339 b,3.8728,20.2695
BD-06 1339 c,125.94,20.2695
BD-08 2823 b,5.6,41.3342
BD-08 2823 c,237.6,41.3342
BD-10 3166 b,3.48777,84.4069
BD-11 4672 b,1634,27.1665
BD-11 4672 c,74.2,27.1665
BD-13 2130 b,714.29999,925.214
BD-14 3065 b,4.2889731,589.423
BD-17 63 b,655.57,34.4603
BD-210397 b,1891,23.7324
BD-210397 c,6240,23.7324
Barnard b,3.1533,1.82655
CD Cet b,2.2907,8.60715
CFBDSIR J145829+101343 b,10037.5,23.1
CFHTWIR-Oph 98 b,8040000,
CHXR 73 b,,190.374
CI Tau c,25.2,157.998
COCONUTS-2 b,402000000,10.8864
CT Cha b,,190.72
CoRoT-1 b,1.5089557,787.909
CoRoT-10 b,13.2406,338.386
CoRoT-11 b,2.99433,655.037
CoRoT-12 b,2.828042,1126.37
CoRoT-13 b,4.03519,1148.93
CoRoT-14 b,1.51214,1744.6
CoRoT-16 b,5.35227,732.409
CoRoT-17 b,3.7681,1176.12
CoRoT-18 b,1.9000693,764.889
CoRoT-19 b,3.89713,790.663
CoRoT-2 b,1.7429935,213.283
CoRoT-20 b,9.24285,844.061
CoRoT-20 c,1675,844.061
CoRoT-21 b,2.72474,1398.834197
CoRoT-22 b,9.75598,627.158
CoRoT-23 b,3.6313,1060.97
CoRoT-24 b,5.1134,591.555
CoRoT-24 c,11.759,591.555
CoRoT-25 b,4.86069,1103.48
CoRoT-26 b,4.20474,1045.18
CoRoT-27 b,3.57532,1010.28
CoRoT-28 b,5.20851,766.183
CoRoT-29 b,2.85057,806.507
CoRoT-3 b,4.2568,768.771
CoRoT-30 b,9.06005,1032.23
CoRoT-31 b,4.62941,2005.76
CoRoT-35 b,3.22748,1123.21
CoRoT-36 b,5.616531,925.958
CoRoT-4 b,9.20205,726.412
CoRoT-5 b,4.0378962,882.472
CoRoT-6 b,8.886593,645.294
CoRoT-7 b,0.85359163,159.906
CoRoT-7 c,3.698,159.906
CoRoT-7 d,8.966,159.906
CoRoT-8 b,6.21229,322.037
CoRoT-9 b,95.272656,412.98
CoRoTID 223977153 b,6.71837,576.683
DE CVn b,4098.1,30.5225
DENIS-P J082303.1-491201 b,246.36,20.77
DH Tau b,,134.846
DMPP-1 b,18.57,62.5388
DMPP-1 c,6.584,62.5388
DMPP-1 d,2.882,62.5388
DMPP-1 e,5.516,62.5388
DMPP-2 b,5.2072,137.94
DMPP-3 A b,6.6732,45.23
DMPP-4 b,3.4982,25.3284
DP Leo b,10220,305.684
DS Tuc A b,8.138268,44.0622
EPIC 201170410.02,6.7987,134
EPIC 201238110 b,28.1656,159.259
EPIC 201427007 b,0.72091,706.391
EPIC 201497682 b,2.13174,253.026
EPIC 201595106 b,0.877214,232.1
EPIC 201615463 c,3.80464,476.882
EPIC 201754305 d,2.71578,334.967
EPIC 201757695.02,2.0478,577.6
EPIC 201833600 c,3.96151,257.443
EPIC 201841433 b,4.1698,436.488
EPIC 205950854 c,8.050722,243.935
EPIC 206024342 b,4.50756,369.888
EPIC 206024342 c,0.911724,369.888
EPIC 206024342 d,14.647531,369.888
EPIC 206032309 b,2.87814,161.365
EPIC 206042996 b,5.2986,451.769
EPIC 206042996 c,0.354884,451.769
EPIC 206215704 b,2.255436,109.888
EPIC 206317286 b,1.58252,314.35
EPIC 206317286 c,17.515472,314.35
EPIC 211822797 b,21.1701963,186.197
EPIC 211945201 b,19.49221,181.69
EPIC 212297394 b,2.289363,418.395
EPIC 212297394 c,5.213965,418.395
EPIC 212424622 b,18.0983,611.804
EPIC 212499991 b,34.885,283.29
EPIC 212587672 b,15.28078,320.07
EPIC 212587672 c,23.228555,320.07
EPIC 212624936 b,0.578657,561.929
EPIC 212624936 c,11.811437,561.929
EPIC 212737443 b,13.603,336.25
EPIC 212737443 c,65.55,336.25
EPIC 220492298 b,0.762406,624.512
EPIC 220554210 c,0.70531,496.289
EPIC 220674823 b,0.571292,244.59
EPIC 220674823 c,13.3397,244.59
EPIC 228836835 b,0.728113,150.124
